faculty,programme,programme_slug,career_title
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Islamic Education Broadcaster
ACADEMY OF ISLAMIC STUDIES,BACHELOR OF ISLAMIC EDUCATION,bachelor-of-islamic-education,Religious Education Coordinator
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Malay Language Editor
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Content Writer
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Copywriter
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Translator
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Language Researcher
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Proofreader
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Lexicographer
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Language Policy Officer
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Scriptwriter
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Subtitler
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Public Relations Officer
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Corporate Communications Executive
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Speechwriter
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Language Trainer
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Malay Language Teacher
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Media Analyst
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Broadcast Journalist
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Technical Writer
ACADEMY OF MALAY STUDIES,BACHELOR OF PROFESSIONAL MALAY LANGUAGE,bachelor-of-proffesional-malay-language,Cultural Officer
